value,type,notes
accounts.nttdocomo.mailsecure.cc,hostname,""
account.mhi.co.jp.mailsecure.cc,hostname,""
booking.elinn-kyoto.com.mailsecure.cc,hostname,""
www.jimin.jp.mailsecure.cc,hostname,""
googlecontent.cc,hostname,""
googleupmail.com,hostname,""
googleusercontent.cc,hostname,""
govmailserver.com,hostname,""
mailsecure.cc,hostname,""
novartis-it.com,hostname,""
symantecse.com,hostname,""
account.googlecontent.cc,hostname,""
accounts.googlecontent.cc,hostname,""
bak.googleupmail.com,hostname,""
docomo.symantecse.com,hostname,""
image.googleusercontent.cc,hostname,""
ja.googleupmail.com,hostname,""
japanese.symantecse.com,hostname,""
jp.googleupmail.com,hostname,""
jp.govmailserver.com,hostname,""
jpa.googleupmail.com,hostname,""
lh4.googleusercontent.cc,hostname,""
mail.googlecontent.cc,hostname,""
secure.symantecse.com,hostname,""
security.symantecse.com,hostname,""
serves.googlecontent.cc,hostname,""
service.googlecontent.cc,hostname,""
service.googleupmail.com,hostname,""
webmail.nira.or.jp.symantecse.com,hostname,""
www.googleupmail.com,hostname,""
www.govmailserver.com,hostname,""
beservices.googlemanage.com,hostname,""
googleze.googlemanage.com,hostname,""
help.googlemanage.com,hostname,""
help.operaa.net,hostname,""
helpze.operaa.net,hostname,""
microsoft.operaa.net,hostname,""
microsofthy.operaa.net,hostname,""
microsoftno.operaa.net,hostname,""
microsoftoldcl.operaa.net,hostname,""
microsoftze.operaa.net,hostname,""
renkneu.operaa.net,hostname,""
services.googlemanage.com,hostname,""
services.operaa.net,hostname,""
siling.operaa.net,hostname,""
zeservices.googlemanage.com,hostname,""
104.207.142.124,ipaddress,""
108.61.222.27,ipaddress,""
103.243.25.72,ipaddress,""
104.207.142.124,ipaddress,""
157.7.221.152,ipaddress,""
