value,type,notes
industry.faxsolution@gmail.com,email-sender,""
hxxp://efax.pfdweek.com/eFax/message0236.ZIP,url,""
bea0a6f069bd547db685698bc9f9d25a,md5,""
ee09bec09388338134d47fa993d5e0f86efe5bd4,sha1,""
c272aebc661c54cc960ba9a4a3578952,md5,""
52d62213c66a603e33dab326bf4fa29d6ac681c4,sha1,""
28b95a2c399e60ee535c32e73860fbea,md5,""
bf4ce67b6e745e26fcf3a2d41938a9dff1395076,sha1,""
4e1dec16d58ba5f4196f6a76a0bca75c,md5,""
a7c43d7895ecef2b6306fb00972c321060753361,sha1,""
173.243.80.6,ipaddress,""
securefaxsolution@gmail.com,email-sender,""
a8e700492e113f73558131d94bc9ae2f,md5,""
b5684384c8028f0324ed7119f6abf379f2789970,sha1,""
ad6723f61e10aefd9688b29b474a9323,md5,""
dd766876b3be5022bfb062f454f878abfbc670b8,sha1,""
8c53ee9137a7d540fcff0d523f7d0822,md5,""
ab32c09c46e0c9dbc576fefee68e5a2f57e0482e,sha1,""
hxxp://efax.pfdresearch.org/eFax/RWP_16-038_Norris.ZIP,url,""
8b3050a95e3ce00424b85f6e9cc3ccec,md5,""
d5dcf445830c54af145c0dfeaebf28f8ec780eb5,sha1,""
3335f0461e5472803f4b19b706eaf4b5,md5,""
5cc807f80f14bc4a1d6036865e50d576200dfd2e,sha1,""
ae997d2047705ff46a0c228f7b5d7052,md5,""
1067ddd5615518e0cbac7389a024b32f119a3229,sha1,""
7b9b51cb44cd6a7af1cd28faeeda04a7,md5,""
e3bd7bdfe0026cf4ee39fd75a771eac52ffea095,sha1,""
ead48f15ebc088384a4bd6190c2343fa,md5,""
0b9dccfcb2cc8bced343b9d930e475f1d0e5d966,sha1,""
9f420779c90e118a0b5fd904380878a1,md5,""
11523d859e9a818c2628d7954502cbdb5eeb2199,sha1,""
b774f39d31c32da0f6a5fb5d0e6d2892,md5,""
ae3ff39c2a7266132e0af016a48b97d565463d90,sha1,""
hxxp://efax.pfdregistry.net/eFax/37486.ZIP,url,""
f79caf27a99c091e6c1775b306993341,md5,""
a76c02c067eae26d78f4b494274dfa6aedc6fa7a,sha1,""
f713d5df826c6051e65f995e57d6817d,md5,""
68ce4c0324f03976247ff48803a7d988f9f9f43f,sha1,""
57c627d68e156676d08bfc0829b94331,md5,""
4bcbf078a78ba0e842f78963ba9dd71240ab6a6d,sha1,""
cbf96820dc74a50a91b2b8b94376682a,md5,""
5f105801a1abb398dadc756480713f9bd7a4aa73,sha1,""
185.124.86.121,ipaddress,""
185.132.124.43,ipaddress,""
185.26.144.109,ipaddress,""
177.10.96.30,ipaddress,""
