value,type,notes
103.28.44.112,ipaddress,""
103.28.44.115,ipaddress,""
128.199.227.80,ipaddress,""
128.199.90.216,ipaddress,""
138.197.236.215,ipaddress,""
139.59.217.207,ipaddress,""
139.59.220.10,ipaddress,""
139.59.220.12,ipaddress,""
139.59.223.191,ipaddress,""
188.166.219.18,ipaddress,""
203.114.75.22,ipaddress,""
203.114.75.73,ipaddress,""
37.59.198.130,ipaddress,""
37.59.198.131,ipaddress,""
45.114.117.164,ipaddress,""
45.32.100.179,ipaddress,""
45.32.105.45,ipaddress,""
45.32.114.49,ipaddress,""
45.76.147.201,ipaddress,""
45.76.179.151,ipaddress,""
45.76.179.28,ipaddress,""
45.77.39.101,ipaddress,""
64.62.174.145,ipaddress,""
64.62.174.146,ipaddress,""
64.62.174.16,ipaddress,""
64.62.174.17,ipaddress,""
64.62.174.21,ipaddress,""
64.62.174.41,ipaddress,""
64.62.174.9,ipaddress,""
64.62.174.99,ipaddress,""
79.143.87.174,ipaddress,""
89.33.64.207,ipaddress,""
89.33.64.232,ipaddress,""
a.doulbeclick.org,hostname,""
ad.adthis.org,hostname,""
ad.jqueryclick.com,hostname,""
ad.jqueryclick.com/assets/adv.js,url,""
ad.linksys-analytic.com,hostname,""
ads.alternativeads.net,hostname,""
api.2nd-weibo.com,hostname,""
api.analyticsearch.org,hostname,""
api.baiduusercontent.com,hostname,""
api.disquscore.com,hostname,""
api.fbconnect.net,hostname,""
api.querycore.com,hostname,""
browser-extension.jdfkmiabjpfjacifcmihfdjhpnjpiick.com,hostname,""
cache.akamaihd-d.com,hostname,""
cdn-js.com,hostname,""
cdn.adsfly.co,hostname,""
cdn.disqusapi.com,hostname,""
cloud.corewidget.com,hostname,""
cloudflare-api.com,hostname,""
cloudflare-api.com/ajax/libs/jquery/2.1.3/jquery.min.js?s=1&v=72580,url,""
core.alternativeads.net,hostname,""
cory.ns.webjzcnd.com,hostname,""
d3.advertisingbaidu.com,hostname,""
eclick.analyticsearch.org,hostname,""
google-js.net,hostname,""
google-js.org,hostname,""
google-script.net,hostname,""
googlescripts.com,hostname,""
gs.baidustats.com,hostname,""
health-ray-id.com,hostname,""
hit.asmung.net,hostname,""
jquery.google-script.org,hostname,""
jqueryclick.com,hostname,""
js.ecommer.org,hostname,""
linked.livestreamanalytic.com,hostname,""
linksys-analytic.com,hostname,""
live.webfontupdate.com,hostname,""
s.jscore-group.com,hostname,""
s1.gridsumcontent.com,hostname,""
s1.jqueryclick.com,hostname,""
ssl.security.akamaihd-d.com,hostname,""
stat.cdnanalytic.com,hostname,""
static.livestreamanalytic.com,hostname,""
stats.corewidget.com,hostname,""
stats.widgetapi.com,hostname,""
track-google.com,hostname,""
update.akamaihd-d.com,hostname,""
update.security.akamaihd-d.com,hostname,""
update.webfontupdate.com,hostname,""
upgrade.liveupdateplugins.com,hostname,""
widget.jscore-group.com,hostname,""
wiget.adsfly.co,hostname,""
www.googleuserscontent.org,hostname,""
