value,type,notes
mailcenter.support,hostname,"Domain used to for sending spear phishes and user tracking."
221.121.138.139,ipaddress,"Resolution for known bad domain"
chinapolicyanalysis.org,hostname,"Domain used for spear phish sender e-mail address and to host malicious documents."
185.130.212.168,ipaddress,"Resolution for known bad domain"
fprii.net,hostname,"Domain used for spear phish sender e-mail address and to host malicious documents."
185.130.212.254,ipaddress,"Resolution for known bad domain"
mericcs.org,hostname,"Domain used for spear phish sender e-mail address and to host malicious documents."
221.121.138.141,ipaddress,"Resolution for known bad domain"
tautiaos.com,hostname,"Command and control server observed from QuasarRAT malware."
43.249.37.199,ipaddress,"Resolution for known bad domain"
sastind-cn.org,hostname,"Command and control server observed from QuasarRAT malware."
209.58.176.201,ipaddress,"Resolution for known bad domain"
ebeijingcn.live,hostname,"Command and control server observed from Delphi RAT malware."
209.58.169.91,ipaddress,"Resolution for known bad domain"
2d8e9fb75e6e816cad38189691e9c9c8,md5,"QuasarRAT binary that beacons to hardcoded IP 209.58.176.201 and domain sastind-cn.org. File starts as mico-audio.exe and installs to C:\Users\%USERNAME%\AppData\Roaming\google-chrome\crome.exe."
2b9a2d5b34b4d79fdfd6c7b861311b12d1627163,sha1,"QuasarRAT binary that beacons to hardcoded IP 209.58.176.201 and domain sastind-cn.org. File starts as mico-audio.exe and installs to C:\Users\%USERNAME%\AppData\Roaming\google-chrome\crome.exe."
5c3456d5932544b779fe814133344fdb,md5,"Delphi RAT file that beacons to ebeijingcn.live."
7ab750afb25457a81c27a98dc6dfd51c27e61b0e,sha1,"Delphi RAT file that beacons to ebeijingcn.live."
e32668e569362c96cc56db368b7e821e,md5,"Malicious RTF document that exploits CVE-2017-8570 and drops QuasarRAT file mico-audio.exe. Upon execution it will be installed under the filename crome.exe."
dadc493abbe3e21610539e1d5a42f523626a6132,sha1,"Malicious RTF document that exploits CVE-2017-8570 and drops QuasarRAT file mico-audio.exe. Upon execution it will be installed under the filename crome.exe."
92942c54224cd462dd201ae11a560bb8,md5,"Malicious RTF document that exploits CVE-2017-8570 and drops QuasarRAT file qrat.exe. This is the same file described above."
85a21624df2211af3daf05c86a3fbea8271059d3,sha1,"Malicious RTF document that exploits CVE-2017-8570 and drops QuasarRAT file qrat.exe. This is the same file described above."
89beb207e7095d237c4d25c4c6e17e97,md5,"Malicious RTF document that exploits CVE-2017-8570 and drops a Delphi RAT with the file name vsrss.exe."
15010f7cea913f2a36c56da7d73c2b9eb5a3878f,sha1,"Malicious RTF document that exploits CVE-2017-8570 and drops a Delphi RAT with the file name vsrss.exe."
6fa7fce844065ce9c605cbe713f3e170,md5,".NET Task Scheduler Managed Wrapper from https://github.com/dahall/taskschedule. The DLL is also digitally signed by a certificate from 'AirVPN'."
2f7eaad80eab3e9dcc67a003968b35c227290c69,sha1,".NET Task Scheduler Managed Wrapper from https://github.com/dahall/taskschedule. The DLL is also digitally signed by a certificate from "AirVPN"."
9e4c373003c6d8f6597f96fc3ff1f49c,md5,"QuasarRAT file that beacons to hardcoded IP 43.249.37.199 and the domain tautiaos.com. File is dropped to 'C:\Users\%USERNAME%\AppData\Roaming\Microsoft Network\microsoft_network\1.0.0.0\microsoft_network.exe.'"
b7319a5ccf605fb2ff7760130e212728bccad323,sha1,"QuasarRAT file that beacons to hardcoded IP 43.249.37.199 and the domain tautiaos.com. File is dropped to 'C:\Users\%USERNAME%\AppData\Roaming\Microsoft Network\microsoft_network\1.0.0.0\microsoft_network.exe.'"
c05e5131b196f43e1d02ca5ccc48ec0e,md5,"Dropper that installs QuasarRAT file microsoft_network.exe and scheduled task wrapper file Microsoft.Win32.TaskScheduler.dll."
f28c592833f234c619917b5c7d8974840a810247,sha1,"Dropper that installs QuasarRAT file microsoft_network.exe and scheduled task wrapper file Microsoft.Win32.TaskScheduler.dll."
7659c41a30976d523bb0fbb8cde49094,md5,"Malicious RTF document that exploits CVE-2017-8570 and drops QuasarRAT file qrat.exe."
3f1f3e838a307aff52fbcb5bba5e4c8fe68c30e5,sha1,"Malicious RTF document that exploits CVE-2017-8570 and drops QuasarRAT file qrat.exe."
7659c41a30976d523bb0fbb8cde49094,md5,"Malicious RTF document that exploits CVE-2017-8570 and drops QuasarRAT file qrat.exe."
3f1f3e838a307aff52fbcb5bba5e4c8fe68c30e5,sha1,"Malicious RTF document that exploits CVE-2017-8570 and drops QuasarRAT file qrat.exe."
598eeb6a18233023f3551097aa49b083,md5,"Malicious RTF document that exploits CVE-2017-8570 and drops QuasarRAT file qrat.exe."
e9a46966f93fe15c22636a5033c61c725add8fa5,sha1,"Malicious RTF document that exploits CVE-2017-8570 and drops QuasarRAT file qrat.exe."
