value,type,notes
199.247.3.4,ipaddress,""
95.179.171.173,ipaddress,""
45.32.154.111,ipaddress,""
45.63.114.152,ipaddress,""
207.148.117.159,ipaddress,""
45.32.118.198,ipaddress,""
root20system20macosxdriver.serveusers.com,hostname,""
airjaldinet.ml,hostname,""
ubntrooters.serveuser.com,hostname,""
system0_update04driver_roots.dynamic-dns.net,hostname,""
sys_andriod20_designer.dynamic-dns.net,hostname,""
loginwebmailnic.dynssl.com,hostname,""
ctmail.dns-dns.com,hostname,""
adobeflash31_install.ddns.info,hostname,""
getadobeflashdownloader.proxydns.com,hostname,""
windows-report.com,hostname,""
browserservice.zzux.com,hostname,""
1261f67286c3edc49e415c9e9773e876867dd0755fce8d3637fb343e11206e0c,sha256,""
ad505cbc942a0a0b71f2bc2508250464c648b436cf2c762899e385971c955519,sha256,""
3a1bb3e88c4dfeccb02481f656802431fc387a6952911e19e030d6ccef6c181f,sha256,""
3288208b5c3372a2f0ef20f54fd52378177bb29a036fcf0166e64327380448c4,sha256,""
97e0589348f6dbcf9eb59d8011aaf87fe97fa735f372abfc225d168cb296376a,sha256,""
5652e83af9a36c985139f4b35d8162a4764bdeb00c5af573fa9e736c7fb1f90a,sha256,""
6df5ddf7d4bd5fb57ee8588447f8565a9591bdd7a113c638d52f7e767998c747,sha256,""
56857be1565973640f14e8c0ad0358d80081c94761b92dab21eb212d619c7737,sha256,""
263a01c7d5cde9c14865b707e78cfd87bac18251eeef0201df04d5d8f4329798,sha256,""
3858e141537485aefd8bb563553c725f4bb9beba64c7ee81d87ec7e2cff9eddb,sha256,""
11e5100db6b36d1c78f535bc75544640846834d019551f52c61d71629ce8eef6,sha256,""
00012d71558fea9429a305e8dda7d0720deeaf84ae4d432dff6441befa64033f,sha256,""
6fba0c7c74e6f9092f5ecc78064e6a158392df32a4134ef99ec399ea4e771f4b,sha256,""
fab653516b446cfc5bbb8c5f44dd20006d43101b4afba27a8fc655ba6d2f48b1,sha256,""
8ddeeba82364e2629264b1d71693d8a42006e0c7d012ab5d2256ff027b2f5f75,sha256,""
a6f6091d67c3f2434e523745384fc09c5b53b3265b8c8ddf3dd1390c95152e12,sha256,""
f7540f46f5dc5f55793c3c7130024591bbd4d8cae679f8816b17b8b655c9b796,sha256,""
0033c7c2b7542bad0fbce198bee704f6b97010a820b5e8cb86574e8e400f7d81,sha256,""
e026cb5d1f6472ff56648cb3e48257ef449713d6331023ae1f3b29863a4680a4,sha256,""
b658a0b0b5cce77ce073d857498a474044657daec50c3c246f661f3790a28b13,sha256,""
215c79344c1b7c761edd2026914dfee10cbefed6271da35c64db1699a0212493,sha256,""
fc9c8d1b051e5db41a44f77d597c3981c88de987b85b8bb258229eeb73cc0f43,sha256,""
c5ddd77d147246d53684d9eb5bd5b6734af12e2f790847b73b7ed716dce407b4,sha256,""
5862862ce64b0b396384786ca7340dbf30030ec6ee8d54af6b5f1af21b492b97,sha256,""
1f8bac00e4f611d0feec7255eeb88038460000002a0a0fe7c4ac0ee9a1b9f79c,sha256,""
61fbeedeed65e5e86948594dc26e44cb5163f543204e39b55010e9159082cf62,sha256,""
2e8a34aa4e887ba413735d3ece7863921eaabdc5a494ff6354fb551f26dc561b,sha256,""
9846498c53c4f528edc173da2f70938ea93de4b8615c97ee040f36d356a15eee,sha256,""
f15d95bb81860bccb6676c91752cc2feae3d0cc6c8f7959684c30c8b2c1d0768,sha256,""
1d9ca05b3d4eef1034991cc4f020852f563e25b541bf5cb40db11b01c49231d1,sha256,""
c7dae984195717c76a9b221081b9c9a20de8d20b55b68add647ee34685b93fb9,sha256,""
88f6af2559db239dc975212dd58b4eb633db5068a5d558126675c1058ffd25dd,sha256,""
ec377ad3defd360c7c7f9c4f4d94188739bdb8ad82b2ea7d94725c68dc2838d9,sha256,""
f0e5e95e6bdc5b2f47ba20709a97244cdebd63117bcf82c15e613b5856e8e41d,sha256,""
