value,type,notes
13.57.184.217,ipaddress,""
13.59.205.66,ipaddress,""
18.217.225.111,ipaddress,""
18.220.219.143,ipaddress,""
196.203.11.89,ipaddress,""
3.16.81.254,ipaddress,""
3.87.182.149,ipaddress,""
3.87.182.149,ipaddress,""
34.219.234.134,ipaddress,""
54.193.127.66,ipaddress,""
54.215.192.52,ipaddress,""
avsvmcloud.com,hostname,""
deftsecurity.com,hostname,""
digitalcollege.org,hostname,""
freescanonline.com,hostname,""
globalnetworkissues.com,hostname,""
kubecloud.com,hostname,""
lcomputers.com,hostname,""
seobundlekit.com,hostname,""
solartrackingsystem.net,hostname,""
thedoccloud.com,hostname,""
virtualwebdata.com,hostname,""
webcodez.com,hostname,""
