value,type,notes
103.77.192.219,ipaddress,"IP addresses attempting to exploit Exchange servers in March 2021"
104.140.114.110,ipaddress,"IP addresses attempting to exploit Exchange servers in March 2021"
104.250.191.110,ipaddress,"IP addresses attempting to exploit Exchange servers in March 2021"
108.61.246.56,ipaddress,"IP addresses attempting to exploit Exchange servers in March 2021"
149.28.14.163,ipaddress,"IP addresses attempting to exploit Exchange servers in March 2021"
157.230.221.198,ipaddress,"IP addresses attempting to exploit Exchange servers in March 2021"
167.99.168.251,ipaddress,"IP addresses attempting to exploit Exchange servers in March 2021"
185.250.151.72,ipaddress,"IP addresses attempting to exploit Exchange servers in March 2021"
192.81.208.169,ipaddress,"IP addresses attempting to exploit Exchange servers in March 2021"
203.160.69.66,ipaddress,"IP addresses attempting to exploit Exchange servers in March 2021"
211.56.98.146,ipaddress,"IP addresses attempting to exploit Exchange servers in March 2021"
5.254.43.18,ipaddress,"IP addresses attempting to exploit Exchange servers in March 2021"
80.92.205.81,ipaddress,"IP addresses attempting to exploit Exchange servers in March 2021"
