value,type,description
"019d4ae42f858d5ea65f3b71392dd37efec6c882,02c48917b15015ddd02738bc1f480f9c6379165618435855030f4c63ce372485,7a15cdb53c6c2a8e40a03dcf15195aef",file,Infrastructure and samples uncovered relating to Vietnamese Credit Card Skimming actor XEGroup.
"01e8daa66e60e453d6cc99a39796208539b50e95,d2fa98019f5f2cb99c1763612adf0e190381c8367370acb9a39f0a6436dabd91,246b79517b264fade1ff717b8a2ffdbb",file,XESKim sample
"0514b408f7debc4264617af8a4c1e2afc000de3b,ae2a387171f4476f4b178d5f69151da8cf45d1d26f55846f8c5dfd615bdea3aa,a3befceb2941aef71e8a2706a165f110",file,Infrastructure and samples uncovered relating to Vietnamese Credit Card Skimming actor XEGroup.
"0660dc46373ae73ab7007ab429ade3ba7a22ee17,16f187214bda4d3d7865bbaba239c98acffdd1eb0e705d17b29c6e7710a0747b,23f22adfa7e806d8631141ca13202358",file,BACKWASH sample
"0bd0cf18be28862f80b66c929d6c185231757eca,03a875c2b460b5c008d7dc6adacd64522d6b418595c932d615bf78c937c71dc5,12442eda016e40b72e936bceb4277147",file,BACKWASH sample
"0c5b4b687b1e578b82f292c7c0ee8728bce1a168,29f9098b015163fea0c08a29b6c3ab4b08ccc211af00260493d24c276af6edc0,d26e32be398a38a24b797cc914ea5383",file,Infrastructure and samples uncovered relating to Vietnamese Credit Card Skimming actor XEGroup.
"122b1f91680b85551bfca0c410999fff92ff618e,6851d6abd607e8c9801ab00e2ab94506d7a511cd94ac90fc7dbf3a98b487b7cd,3a1c259f80d67c75059bd109d20a22bd",file,Infrastructure and samples uncovered relating to Vietnamese Credit Card Skimming actor XEGroup.
"13037f612b0dfa4c80c73018900d5b56c1b1c7a1,fc461929ef7fc76aa538e73caf722facd354ed69255b9c33b7840c63a0275beb,86da7f409ccf2fc36f42ac2807ddc645",file,Infrastructure and samples uncovered relating to Vietnamese Credit Card Skimming actor XEGroup.
"161435d198f3dba6ac1ce045b73ccd61f7697146,11415ac829c17bd8a9c4cef12c3fbc23095cbb3113c89405e489ead5138384cd,bf6722f2055b13a61dfb7233af8d966a",file,Infrastructure and samples uncovered relating to Vietnamese Credit Card Skimming actor XEGroup.
"1745ada809a9e80f80ce8a38d2bb5858378a4206,5cc02305d7b5cb0675f2ac65422a115aa44d8f28e5a2b759470d17d6bf851a3a,87fadafde153ec4d73a358c4897e54e6",file,Infrastructure and samples uncovered relating to Vietnamese Credit Card Skimming actor XEGroup.
"186fd3584e922223ddde243a685a20680640e336,348e8494d32e6f7e8dcbe1f295ca9efd2af047d92d73eaf0091cd20efe48eb79,8d508ad54b90222efdfbbdbaf12cbb29",file,XESKim sample
"1e9243fe694f33440bdaa11df6bf422e145a5880,62e1eadf47aee6d568fadf33cd8140739a0caf9a70b3980123a271b19457d413,4bd4597c9043510968c20c075305d95c",file,SLIVER sample
"2887cb67ad6243ef8b01005c8a414bbace99f5ed,8ba7dbd9b403bcc1573a4be24383886db8d4eb53e67b4768396816fa052c6b35,43945ca0dd397066f3faca01334e978f",file,Infrastructure and samples uncovered relating to Vietnamese Credit Card Skimming actor XEGroup.
"2b11b849409c661b05f5f24c525c9baddeebf98a,15cf72e6d6df54cdbbbe90e7a755559c609feff2bb897a966001c9d790902553,1cf0bfeec6c8f9a0649302af9031ba77",file,Infrastructure and samples uncovered relating to Vietnamese Credit Card Skimming actor XEGroup.
"2d98f485162d3a01105a4e66667e8e0791a044c1,bf45a757c0d9e330460a0e6bb5016b96f6e6adf43be9bb9ba307b9fca8040a5c,d66f724eab5564ca8fe4b6ce91d515e9",file,Infrastructure and samples uncovered relating to Vietnamese Credit Card Skimming actor XEGroup.
"342e7fe54de2a60bbb82d29af375385d4ba335fe,815d262d38a26d5695606d03d5a1a49b9c00915ead1d8a2c04eb47846100e93f,37e173b932596af62fefc4dc10c8551d",file,BACKWASH sample
"3b83c66c6c35163590b9e97404d0d6d8729c37af,47f43a2c395eeb07b44ee0d30cafb34611d7aeac4c2eb5457ab4c8d5466b21e5,344ef2589d9d85e180189ff4ba33bb95",file,Infrastructure and samples uncovered relating to Vietnamese Credit Card Skimming actor XEGroup.
"5526e922952cbe4fa50bded471b89bb563261817,4b55488c786a4d45beeb674f0a6e83ac50a0473aa1c487177f5cb4df5d1ac40b,cf7f4c005dca47ee66e8993e31fd724b",file,Infrastructure and samples uncovered relating to Vietnamese Credit Card Skimming actor XEGroup.
"5d7710c9f3b2ac1e576b7af12feb4e3831bc7b6f,0bc9d5d02f6fc0521feecd7e4d4e121f94625e37721c090d7b37b8cb62628394,665ad9b98a0df9d790e59c7bd5c95dd9",file,Infrastructure and samples uncovered relating to Vietnamese Credit Card Skimming actor XEGroup.
"5e99bc4bc0c0eb4609683121a24798c99031d77a,6d117ae913d975bca2f27194c7b8f8681aa1c3a42b1b2019fe2e71adbd32a757,1e5494afed2990f9b59d317049f9a714",file,SLIVER sample
"69136f58ac97caae98ae00414ed933d3738a90c2,e81bbc4c297c1f7ab1af766951926a0ff9b8cfb77d5081831abfc3aa216d0dad,f8e1752e1b32369e9185a70bee172a47",file,SLIVER sample
