value,entity_type,description
"b79d28fe5e3c988bb5aadb12ce442d53291dbb9ede0c7d9d64eec078beba5585,2581e9bf9fa219cb1bce393f7492212612228221,f5eddfaeb353ceca4b8713f88f030604",file,IOCs related to distribution of POWERSTAR PowerShell backdoor by Charming Kitten.
"9777f106ac62829cd3cfdbc156100fe892cfc4038f4c29a076e623dc40a60872,e588837d652d2cd96c5cb44f8f98fd7d82cc5d30,99dc6ab3f88629069b5109f5ed530e25",file,IOCs related to distribution of POWERSTAR PowerShell backdoor by Charming Kitten.
"977cf5cc1d0c61b7364edcf397e5c67d910fac628c6c9a41cf9c73b3720ce67f,214bf21a567b678ec4250c1aca4cf71275e2860e,5398e9063ee0d6189cf59c8d4403a40d",file,IOCs related to distribution of POWERSTAR PowerShell backdoor by Charming Kitten.
"823ffbcc62bd3296957a47fbf8c238949584996911e71d5140a25d0a8f6abd80,0161ba63e65a2b39b754b9d16cf2bc62de98e99a,e4e8864f88724b736ec3568fd8916796",file,IOCs related to distribution of POWERSTAR PowerShell backdoor by Charming Kitten.
openlibrary.ignorelist.com,hostname,IOCs related to distribution of POWERSTAR PowerShell backdoor by Charming Kitten.
"991620817274d4031889134d40294cc6e086cf56e738a8ea78c49860c6dccdce,5671ff66d0ea0cd93b04ca0ab35ff4e33e33833a,a2b407eac00422b2bc7ac59a74fc47e0",file,IOCs related to distribution of POWERSTAR PowerShell backdoor by Charming Kitten.
fuschia-rhinestone.cleverapps.io,hostname,IOCs related to distribution of POWERSTAR PowerShell backdoor by Charming Kitten.
http://bluebox10546.s3.us-west-004.backblazeb2.com/sa/88W3X81EN/cettj34c.txt,url,IOCs related to distribution of POWERSTAR PowerShell backdoor by Charming Kitten.
https://s3.us-west-004.backblazeb2.com/bluebox10546/k41we/k24510.txt,url,IOCs related to distribution of POWERSTAR PowerShell backdoor by Charming Kitten.
https://bluebox10546.s3.us-west-004.backblazeb2.com/share/Us-China.pdf,url,IOCs related to distribution of POWERSTAR PowerShell backdoor by Charming Kitten.
https://bluebox10546.s3.us-west-004.backblazeb2.com/k41we/btw74c.txt,url,IOCs related to distribution of POWERSTAR PowerShell backdoor by Charming Kitten.
https://s3.us-west-004.backblazeb2.com/bluebox10546/k41we/bts74e.txt,url,IOCs related to distribution of POWERSTAR PowerShell backdoor by Charming Kitten.
https://personalstorage1687.s3.us-west-004.backblazeb2.com,url,IOCs related to distribution of POWERSTAR PowerShell backdoor by Charming Kitten.
