value,entity_type,description
b7c1a56d3e817bfa47d540f37dc45441325e81332e4c71a5e65d7de67b8f4b3c,file,BADBAZAAR
98e9550fc175a36d5a0132d93f316cfa6cb0e578ae6e619ef9a1b6f49b3c6564,file,BADBAZAAR
cd20f2cdfe30b2907ab5609a723a4d9dab1693d2079f4dd0e29b5d1d2f1ac14e,file,BADBAZAAR
a54cf7f8bdbeff78264bbd6284e773a43933acbdd1e34c345db534674f9abbb7,file,BADBAZAAR
ce96e97012fd13a2c4d756330a8b889e63ead3126cf9ddab7d13a01a36a83b36,file,BADBAZAAR
de32d38fb1eaff6fd09a224a799527554fae6be626242f8ed09ebc3ef5c7efb4,file,BADBAZAAR
ad8d7a3e23c11aac9533e84db81052c8765db4fbff15a605f566fccad475825d,file,BADBAZAAR
e14b64a04db103dafe910875858ba37099c9d4fe2728b059771e24ca1489f806,file,BADBAZAAR
4a104c0e4b91d07b8fba04cfcd3ac572a8a460cbd20355cdd58e6a86e2731529,file,BADBAZAAR
9fd9c447fd356ac4016f69f7f6536f561e61e235adcbda0bebc66ae1a711e74e,file,BADBAZAAR
e213b12d4e12236b3837ebc2f52d59f5d7e86187bb605f6d599d30511e0bb19e,file,BADBAZAAR
5b0f903e8587edda296126dae07e537e2164e188ac28a7cb749f4d99e8ee055e,file,BADBAZAAR
d9f6495fb818accb647ef21a5030293b748bd38c0aa0135b307fca92170312b5,file,BADBAZAAR
fb4febd0f61fa53198e4acb899baa3140f5e8a3ad68103a94e05c6559662269e,file,BADBAZAAR
3090de13c890e4bc0485b111f2babdace0909808ee26f245b965d5e8e0c364d6,file,BADBAZAAR
1ab35db617cf151a08d70de8d8f49d4d402dae53f1c72c1e3619a0388891d7a3,file,BADBAZAAR
570e2f608cbbbdd7144abc8c2f3c34ca47f3facce19602bae7cda32ef26d168b,file,BADBAZAAR
a29ec9cc9603e10e8db37197eaa007655f68cbd2785b0b5fb4c1e50beb6c9807,file,BADBAZAAR
b3689c708af23680655dac7f31b6fb5d91c6d038d6d95e5e94ca72f0dfc6e9ab,file,BADBAZAAR
b9476668a03c8d0900f393779ccfb36d299498861be3035b311e66ff83fe9e84,file,BADBAZAAR
48e3d64f1be719ce286b5707105d5f0f8b76bfccacb0e90974dbccf1bacd32b1,file,BADBAZAAR
9b205a74cd5e83a0cbf0c75011a44d84381bd9c2841af22f9ab97ba091e86224,file,BADBAZAAR
01965c3fd21e4d0a9030ac2a044c34beaaa410fb079258dc3e0028b4f66ae1e2,file,BADBAZAAR
a322a34bb4d6de6506e1ae40c99584bf190fa3c4db9bbd46b8087f8c8c78d6e3,file,BADBAZAAR
4dcd4174f5baee7d6ac77bec6f803b076b023c77512ec734da66e31772f5b14d,file,BADBAZAAR
3a6bfc2a7e6380d7030c412fda940b57f83a802ce0ac40ffce410de5caf33795,file,BADBAZAAR
d2f6b0e137363b645a72bbe048598b75bd6ae65511ec0aa85bcee0f0a33ecd00,file,BADBAZAAR
519a30d5d8f0a50c5620e0837cee78bbd09f87adc35905fd1aff6b62633579eb,file,BADBAZAAR
02642e1c0421ae52e5668f09c04b787ff02f38d2bdb35218c6dae2fb0615a4db,file,BADBAZAAR
b82605dfa3accc6d428cf54389f0397f3228e3da23bffd74799ad8e9103be63a,file,BADBAZAAR
9c4569a6abfbf3a41e508c23489d59064cd58e7751743db59f42a863e6d26b83,file,BADBAZAAR
3c4a7826d008d614e06e30f39429fc21a787de5d6a7dbe4c53e9f2498733faa4,file,BADBAZAAR
7c28595a84db1b256964239a42f55f96012cf226dc2d107a799586160bf6d606,file,BADBAZAAR
59c99f5af2945a1cf876c4e7e8586cd2329173f660c46623da889df7cbb73e60,file,BADBAZAAR
3f1b9f087d60bc133ab07ab8ea3528dab4045354dffc81da1a3bd7d8d50976d7,file,BADBAZAAR
e249fee2a26ade6eb3877734262166c3a6f19f3c63aee4fcbe52f1c901de8a93,file,BADBAZAAR
8fdb8b8b4d2b424aaf1320ccb0953464368f279180d29e2ed60908a04057b2f7,file,BADBAZAAR
b5684199e86e793e18b501214256e8b9b51f810f80345b956a98ec984eecfd50,file,BADBAZAAR
031fe91a93ef5f7140226f77e83c14f1e99737a65a0606ba65f8e452d7aa6918,file,BADBAZAAR
9985a564a7f8bf54a28821c33641c8e9927d6d59545e2df771940323362ac904,file,BADBAZAAR
25da1f336b7aab59340b0e7d9de2a95ec5c5fd3818b4b5fff4712139f5d6c0cd,file,BADBAZAAR
fe0035f4670f23dcee6eb5d0ceb6fac9756dd7291862b4f470eb3ad892805ba0,file,BADBAZAAR
f38928a9c2172b369086cf1a188f834b6733f4e1b27c4654e83f4cd15d4bc1ed,file,BADBAZAAR
c9eb92eb240a77ec002eff0b4311ed719e12f7331db2cc3236f316aab9a59161,file,BADBAZAAR
fa42ec6f52bfe00c6a4f702963638589720c909ba820d181503a1c8027e06a96,file,BADSOLAR
f8bfbefd5292246573f3d2da6f84199f0a3286abb90804f59546ffa4d98e8513,file,BADSOLAR
f7132750db2a8ca8eb9e9e5a32377aa506395d02bacbb918f835041f5f035c4c ,file,BADSOLAR
ecc2e230d27842c65ffb2bfb4a2dbeb665aa3389dfa423365fe32cf8876654b6,file,BADSOLAR
eadae80f7531024be5879833d46af87a8848c5c062c482edfa8ecfe3c3382c7b ,file,BADSOLAR
df18d4f984ec47f30f540ed4aa20eec2437fbe4849b15e377e27f65b4a426e49,file,BADSOLAR
cd93541622a349c282f3f81642e163292c00104254a7e2a14d50ce14cab2ee96,file,BADSOLAR
