value,entity_type,description
www.defaultbluemarker.info,hostname,IOCs associated with CharmingCypress phishing activity distributing POWERLESS and NOKNOK malware via malicious VPN applications.
144.217.117.74,ipaddress,IOCs associated with CharmingCypress phishing activity distributing POWERLESS and NOKNOK malware via malicious VPN applications.
"1690cff04de44a26440d4fd15d0a0c11f64d3db670607ef658938690436b6636,ae67cd9c37127821e7768801dda7e8fb,e2ec9b77e3feb0c8f30f314ed15da2bbcde25ddc",file,IOCs associated with CharmingCypress phishing activity distributing POWERLESS and NOKNOK malware via malicious VPN applications.
rasaanah-iiis.org,hostname,IOCs associated with CharmingCypress phishing activity distributing POWERLESS and NOKNOK malware via malicious VPN applications.
"37bb42720bfc1cf5d0e9d7b66be134b6431055ed8bdfd384f61ab7ac061d26eb,c79d85d0b9175cb86ce032543fe6b0d5,195e939e0ae70453c0817ebca8049e51bbd4a825",file,POWERLESS persistence module
panel.rasaanah-iiis.org,hostname,IOCs associated with CharmingCypress phishing activity distributing POWERLESS and NOKNOK malware via malicious VPN applications.
"2d99755d5cd25f857d6d3aa15631b69f570d20f95c6743574f3d3e3e8765f33c,266305f34477b679e171375e12e6880f,607137996a8dc4d449185586ecfbe886e120e6b1",file,IOCs associated with CharmingCypress phishing activity distributing POWERLESS and NOKNOK malware via malicious VPN applications.
"35f062f46f42dce06804cc4e7b456c528618d650edcf1cf7f806c016e88b3d19,c3fe93fc9133c0bc4b441798b9bcf151,87f36a0279b31a4a2f9b1123674e3dea130f1554",file,IOCs associated with CharmingCypress phishing activity distributing POWERLESS and NOKNOK malware via malicious VPN applications.
149.28.133.236,ipaddress,IOCs associated with CharmingCypress phishing activity distributing POWERLESS and NOKNOK malware via malicious VPN applications.
beginningofgraylife.ddns.net,hostname,IOCs associated with CharmingCypress phishing activity distributing POWERLESS and NOKNOK malware via malicious VPN applications.
yellowparallelworld.ddns.net,hostname,IOCs associated with CharmingCypress phishing activity distributing POWERLESS and NOKNOK malware via malicious VPN applications.
"f1ee5dd179f66f597edfeb4b2c73c6adb4b7b6d4dcfb0bef33ee5c285148d085,9b6c308f106e72394a89fac083de9934,27b38cf6667936c74ed758434196d2ac9d14deae",file,POWERLESS browser stealer module
defaultbluemarker.info,hostname,IOCs associated with CharmingCypress phishing activity distributing POWERLESS and NOKNOK malware via malicious VPN applications.
"1feade2bbd4dbc0b2052213d792b83c969928a150dce332746a6b5426ac93e4f,bd41c99df6945650727f871c6ed3f95b,1f16544eb41f4b5146cee457504b8b13d10a91e1",file,IOCs associated with CharmingCypress phishing activity distributing POWERLESS and NOKNOK malware via malicious VPN applications.
"a8622dccb40a9fe9c2123f661e32e0a6bc40e95c88c9c2b764e603ce5eccb311,859a9e523c3308c120e82068829fab84,5bdec05bdca8176ae67054a3a7dc8c5ef0ac8deb",file,POWERLESS .NET loader
www.rasaaneh-iiis.org,hostname,IOCs associated with CharmingCypress phishing activity distributing POWERLESS and NOKNOK malware via malicious VPN applications.
rasaneh-iiis.org,hostname,IOCs associated with CharmingCypress phishing activity distributing POWERLESS and NOKNOK malware via malicious VPN applications.
rasaaneh-iiis.org,hostname,IOCs associated with CharmingCypress phishing activity distributing POWERLESS and NOKNOK malware via malicious VPN applications.
"42477f0236e648f6e981db279406ca5f2a37a26cdf2baf472c41cb7f85f046e8,ac4e5a1df9c2ec889be088159e28ddb1,16f58fdb4443a963cea36de8c8500539e28d053d",file,IOCs associated with CharmingCypress phishing activity distributing POWERLESS and NOKNOK malware via malicious VPN applications.
"11f0e38d9cf6e78f32fb2d3376badd47189b5c4456937cf382b8a574dc0d262d,a2729e8e105b76808da741263fc394be,01966af573124d90608167a5d544ac59b6c994ea",file,IOCs associated with CharmingCypress phishing activity distributing POWERLESS and NOKNOK malware via malicious VPN applications.
www.panel.rasaaneh-iiis.org,hostname,IOCs associated with CharmingCypress phishing activity distributing POWERLESS and NOKNOK malware via malicious VPN applications.
"9ef84d6a709adbd6f29813ee145dbf542a69150e5ab4261e0d58de7ee371a8ef,5fc8668f9c516c2b08f34675380e2a57,c3fd8ed68c0ad2a97d76fc4430447581414e7a7e",file,POWERLESS audio recorder module
coral-polydactyl-dragonfruit.glitch.me,hostname,CharmingCypress indicators of compromise related to BASICSTAR and KORKULOADER related phishing.
east-healthy-dress.glitch.me,hostname,CharmingCypress indicators of compromise related to BASICSTAR and KORKULOADER related phishing.
"c6f91e5585c2cbbb8d06b7f239e30b271f04393df4fb81815f6556fa4c793bb0,2edea0927601ef443fc31f9e9f8e7a77,cdce8a3e723c376fc87be4d769d37092e6591972",file,CharmingCypress indicators of compromise related to BASICSTAR and KORKULOADER related phishing.
"f6f0f682668f78dbecfc30a0e0c76b6a3d86298869fb44b39adf19fdcdca5762,78e4975dc56e62226f4c56850efb452b,1f974d7634103536e524a41a79046785ca7ae3d6",file,CharmingCypress indicators of compromise related to BASICSTAR and KORKULOADER related phishing.
wulpfsrqupnuqorhexiw.supabase.co,hostname,CharmingCypress indicators of compromise related to BASICSTAR and KORKULOADER related phishing.
cloud-meeting-online.onrender.com,hostname,CharmingCypress indicators of compromise related to BASICSTAR and KORKULOADER related phishing.
"1ffc0bb577e4605059143a5cca213fbe0762c320c74174fe3c2a8f4878c85fc0,3fbf3ce1a9b452421970810bd6b6b37a,729346dfdd2203a9943119bac03419d63554c4b8",file,CharmingCypress indicators of compromise related to BASICSTAR and KORKULOADER related phishing.
"13b659e009577ab7890157ce00cc5c3641049f46135d5be2b1c17ca88a1490f9,a517bcb4d8c24dfe750110a91252c26c,09b527ddb848d7697f34ab34c2bce30da6f24238",file,CharmingCypress indicators of compromise related to BASICSTAR and KORKULOADER related phishing.
"fdc5d6caaaa4fb14e62bd42544e8bb8e9b02220e687d5936a6838a7115334c51,e851147f1d5dc5236ed2085cd5e513e7,2a2610344bf8db66b1e13302e54e4ef77712aada",file,CharmingCypress indicators of compromise related to BASICSTAR and KORKULOADER related phishing.
view-document-online.onrender.com,hostname,CharmingCypress indicators of compromise related to BASICSTAR and KORKULOADER related phishing.
cloud-document-edit.onrender.com,hostname,CharmingCypress indicators of compromise related to BASICSTAR and KORKULOADER related phishing.
"07384ab4488ea795affc923851e00ebc2ead3f01b57be6bf8358d7659e9ee407,853687659483d215309941dae391a68f,25005352eff725afc93214cac14f0aa8e58ca409",file,CharmingCypress indicators of compromise related to BASICSTAR and KORKULOADER related phishing.
prism-west-candy.glitch.me,hostname,CharmingCypress indicators of compromise related to BASICSTAR and KORKULOADER related phishing.
"f2dec56acef275a0e987844e98afcc44bf8b83b4661e83f89c6a2a72c5811d5f,4d75ed2a0a1016734a561295a49acb83,5b5a226b906bf83c4f6ef49189f4bde560398edb",file,CharmingCypress related indicators
"1e7d2390a64abf51291d58a4104341664ec3c4f9989e07bdf612ecbe53f1231c,2a6c530a0f9a556fce5e9ca5e4c72fc0,ad4bb732e76ed609c227d6c16691b0ee50f1c692",file,.NET dll likely used as a helper with other unknown malware - provides functionality to read the contents of a file and converts the result to base64
"b0f0aeded0aa68cfa17353faaf2093d35237758cdb668fff91f915092c9696ed,406e1402dd2e39bfba8b7e903aab41a3,4da8f471528cc588133b93b7dc6520f8772153d6",file,CharmingCypress related indicators
185.36.189.81,ipaddress,CharmingCypress related indicators
"10460becafe4a67b959d9eaa09fb391d4ed46c083843ca3ab28c36e803760e41,e9c8ced8a36d560a7e01bc818c1c0113,3a002ae6855d551cf29f0c11db8c484261197214",file,CharmingCypress related indicators
"bd7db9d9617c6108ed363cc2622594e9fd6932ed2c25f403bd1cc83bc9a21a1d,dd8466a7b634cc316585e23c39b389d4,6a9c095728702b47b7a3a9b4f6d57ea5884df50e",file,RATHOLE config
"cfd340b4b4b3698f87acd1bebe8bec3d3ff48bfd6513a73c9aa3975d2cfe84c3,481c2bff3198bc3f0a357d4c23bf6c8a,89ae0407ee20cbdd12f52dbc535fedd4fdd36ae1",file,CharmingCypress related indicators
"ea308c76a2f927b160a143d94072b0dce232e04b751f0c6432a94e05164e716d,43141e85e7c36e31b52b22ab94d5e574,cfd7079a9b268d84b856dc668edbb9ab9ef35312",file,Command line 7z
"a288618325a42a22fc642a73c5f5a39409a229e7f7aedec0043839b1e1483266,7756b32f21777074937ee223e4c70e9c,5cccda13b5e6ff30ccf263ad7b5c6ace18bd3c90",file,Nirsofts' Chrome History Viewer
editorservices.onrender.com,hostname,CharmingCypress related indicators
"56cd102b9fc7f3523dad01d632525ff673259dbc9a091be0feff333c931574f7,4b1620523670f271a49420e8eea80f59,e3e7343054bec2926d09153ad5c24036dca626d7",file,Command line Winrar
"e4e7f08d9a9a662b5615e8fcbb6cd3c711ecab6341a60562bbeff9ccca43f7e0,1009e5b3884fffc9926a2e97ccdf8408,15ef775adbddd1f9515860f322fcfdb1f81fbb49",file,CommandCam utility
tgtoolsservice.onrender.com,hostname,CharmingCypress related indicators
ndrrftqrlblfecpupppp.supabase.co,hostname,CharmingCypress related indicators
"8803b8faa6e6ee4c3cdf31b6d6b4af104be8650e2ff63a9b9818b3e2596fdc5b,541992d309adb62a6ae30724f356e5fd,969aef62b09ac68e4cd526fecc91e87f883afc58",file,CharmingCypress related indicators
