value,entity_type,description
"5ecbc33fe3b345f2956cff566203e33b9390a3ed9923b990a46804880ae2f59b,1c8cfa8f36897b6b1179dc4bce49b0e2f86e1a4e,52992eb3a59d7acb736cf9b607337d62",file,UTA0137 related indicators
"cfb9ffb83877b421e95c9a2c3f65c106b9afb42babce7ba824671f9736bf0f7c,31a1b6e836684c6d7b5d8f7a099dbe090282cbb0,49cbbf586ba1480599be02915e5a8b34",file,UTA0137 related indicators
"51a372fee89f885741515fa6fdf0ebce860f98145c9883f2e3e35c0fe4432885,1443e58a298458c30ab91b37c0335bdadbacd756,50fe93394528a0ede52f9eec6c1bf505",file,UTA0137 related indicators
"d9f29a626857fa251393f056e454dfc02de53288ebe89a282bad38d03f614529,0d4111ab5471c7f5b909bff336ba8cd66f9d8630,d5f2e3fafbb0701dc0f1adccc7141e63",file,UTA0137 related indicators
"9709b0876c2a291cb57aa0646f9179d29d89abb2f8868663147ab0ca4e6c501b,789b41ddcee0166349cc106044932c76bfcb8cc0,de115e15a6689cf32519c3a046a78626",file,UTA0137 related indicators
"1cdf1f32f31e226f037fda562985e481b7aa0b809971f2e40b713b034cf1d44e,765b17c1e2e1ab3d2fbdba3ccffcdcc4bd750102,db0676733eb4ee2c490bdc4fe488b40f",file,UTA0137 related indicators
"1387b77a41e5a244c03ea7f5c90a2e528abe0ed7a4e6cb659183f7112c546046,465ef9d21e73493e9d531378756f91917f9567f4,da745b60b5ef5b4881c6bc4b7a48d784",file,UTA0137 related indicators
"26bf853b951e8d8ba6007e9d5c77f441faa739171e95f27f8d3851e07bc65b11,8c969dbe0fe30244802cda1c8e33b04040831466,13ee4bd10f05ee0499e18de68b3ea4d5",file,UTA0137 related indicators
"1e657d3047f3534dcd4539ce54db9f5901f7e53999bae340a850cc8d2aacc33c,749a8d081e075b921436d07e323964da88bff609,56cc70b66be99e01d354ba2aaf88041e",file,UTA0137 related indicators
"fb30e5c67b92dc17d7a6e412f36d9b521842f8d7df38a00584c1362303b26655,e19c23d82d7e7e8e45b1d830ddc7ddb85087c4cc,f68b17f1261aaa4460d759d95124fbd4",file,UTA0137 related indicators
