value,entity_type,description
103.43.18.95,ipaddress,BrazenBamboo DEEPDATA C2 IP Address
103.27.109.217,ipaddress,BrazenBamboo LightSpy C2 IP Address
103.27.109.28,ipaddress,BrazenBamboo LightSpy C2 IP Address
103.43.18.22,ipaddress,BrazanBamboo C2 PANEL
203.83.9.62,ipaddress,BrazenBamboo DEEPDATA C2 IP Address
43.248.136.241,ipaddress,BrazenBamboo DEEPDATA C2 IP Address
203.83.9.60,ipaddress,BrazenBamboo DEEPDATA C2 IP Address
202.43.239.13,ipaddress,BrazenBamboo DEEPDATA C2 IP Address
119.147.213.48,ipaddress,BrazenBamboo DEEPDATA C2 IP Address
103.43.19.64,ipaddress,BrazenBamboo LightSpy C2 IP Address
121.201.109.98,ipaddress,BrazanBamboo C2 PANEL
103.27.110.159,ipaddress,BrazenBamboo LightSpy C2 IP Address
49.232.185.137,ipaddress,BrazenBamboo LightSpy C2 IP Address
103.43.19.245,ipaddress,BrazanBamboo C2 PANEL
58.221.58.240,ipaddress,BrazenBamboo LightSpy C2 IP Address
118.195.234.243,ipaddress,BrazenBamboo LightSpy C2 IP Address
47.236.30.141,ipaddress,BrazenBamboo LightSpy C2 IP Address
154.91.196.185,ipaddress,BrazenBamboo LightSpy C2 IP Address
45.155.220.194,ipaddress,BrazenBamboo LightSpy C2 IP Address
222.219.183.84,ipaddress,BrazenBamboo LightSpy C2 IP Address
27.124.37.30,ipaddress,BrazenBamboo LightSpy C2 IP Address
27.124.37.59,ipaddress,BrazenBamboo LightSpy C2 IP Address
27.124.37.64,ipaddress,BrazenBamboo LightSpy C2 IP Address
43.248.136.110,ipaddress,BrazenBamboo LightSpy C2 IP Address
43.248.136.215,ipaddress,BrazenBamboo LightSpy C2 IP Address
45.125.34.126,ipaddress,BrazenBamboo LightSpy C2 IP Address
103.43.17.99,ipaddress,BrazenBamboo LightSpy C2 IP Address
103.27.108.207,ipaddress,BrazenBamboo LightSpy C2 IP Address
38.55.97.178,ipaddress,BrazenBamboo LightSpy C2 IP Address
103.27.108.205,ipaddress,BrazenBamboo LightSpy C2 IP Address
45.155.220.79,ipaddress,BrazenBamboo LightSpy C2 IP Address
47.238.155.170,ipaddress,BrazenBamboo LightSpy C2 IP Address
124.156.48.83,ipaddress,BrazenBamboo LightSpy C2 IP Address
103.27.108.152,ipaddress,BrazenBamboo LightSpy C2 IP Address
47.238.153.120,ipaddress,BrazenBamboo LightSpy C2 IP Address
666a4c569d435d0e6bf9fa4d337d1bf014952b42cc6d20e797db6c9df92dd724,file,BrazenBamboo DEEPDATA Archive File
035db9a3bc9bfba542583c9350baa39741018127a27e7e3ebb6e9f50ddb96f41,file,BrazenBamboo DEEPDATA Plugin WebBrowser.dll
041c13a29d3bee8d2e4bd9d8bde8152b5ac8305c1efcc198244b224e33635282,file,BrazenBamboo DEEPDATA Plugin Pass.dll
0b8c9d991162efca3c34d3d97b79f8edfd45ec3e052c4fef080523bacd586d11,file,BrazenBamboo DEEPDATA Plugin Telegram.dll.4151
0c4ebc3d96911af9878343ee8dcba7f79a64cf86ae9b8e6cdc7bbb100177b9af,file,BrazenBamboo DEEPDATA Plugin Telegram.dll.4102
151edcd7d877048d5e8fce9919477cbe5c2de4bd65cd46aa228528dd00360db1,file,BrazenBamboo DEEPDATA Plugin wifiList.dll
1bfb7c520335f96c1b268bd9e59688fca49e67e5785aa2a5a3bb281484318101,file,BrazenBamboo DEEPDATA Plugin appdata.dll
213520170fc7113ac8f5e689f154f5c8074dd972584b56d820c19d84b7e5b477,file,BrazenBamboo DEEPDATA Plugin SystemInfo.dll
2bfb82a43bb77127965a4011a87de845242b1fb98fd09085885be219e0499073,file,BrazenBamboo DEEPDATA Plugin OutlookX32.dll
37c74a4a8bbe272da16f956eea69f0dcbf0caeb0d3da72d084502499c124b879,file,BrazenBamboo DEEPDATA Plugin msenvico.dll
3d9f8e1e84e9cfc742bc51742863a325eda1ea459ed6a6a5b2c47710fc171848,file,BrazenBamboo DEEPDATA Plugin Telegram.dll.4142
424aaacf3444fe51b9865af3079777a977111cab9a329494f1f12c0a48dbffa7,file,BrazenBamboo DEEPDATA Plugin ucrtbase_enclave.dll
460f1a00002e1c713a7753293b4737e65d27d0b65667b109d66afca873c23894,file,BrazenBamboo DEEPDATA Plugin wifiList.dll
51b83c5732fbfc8da9d333e7daea85725c04f241f27648708d326077a4556717,file,BrazenBamboo DEEPDATA Plugin Pass.dll
55e2dbb906697dd1aff87ccf275efd06ee5e43bb21ea7865aef59513a858cf9f,file,BrazenBamboo DEEPDATA Plugin Audio.dll
5d39dd90ee6e01afbe070030d863385adf5976752274f95f936c1b6241f78d6a,file,BrazenBamboo DEEPDATA Plugin TdExe.dll
7008e312446919cceb73db951af89602aaa9312c0c793b9bbb2e1a306f84d82f,file,BrazenBamboo DEEPDATA Plugin Telegram.dll.4113
724351b5cc9ad496a6c9486b8ef34772f640590a90293f913f005e994717134b,file,BrazenBamboo DEEPDATA Plugin ProductList.dll
72bfd0f5299809c66a1fea743d5bd6559d031052bc31ced95884aeb860f318a1,file,BrazenBamboo DEEPDATA Plugin vertdll.dll
742fd59971ac576e579a45d8f2d4165c4c18b08685880fd457be1651523b5da4,file,BrazenBamboo DEEPDATA Plugin SystemInfo.dll
75dadf4ead9e1b3ad73fb135a5950534d0a9e58bdb4c6f2dbd4ca8b7f66b4a56,file,BrazenBamboo DEEPDATA Plugin Telegram.dll.4150
765ef96d1f46aca2c2b816f92e57b92ba8126a601e76a9377d742eb6bb2d95ef,file,BrazenBamboo DEEPDATA Plugin Telegram.dll.414c
83c610c4a56aa15a2220d2c3b05e0ff073f6ffb97f892118ae10c03b1bee35b0,file,BrazenBamboo DEEPDATA Plugin ProductList.dll
84edc435eac5543a01c5aa1391e73e5dfe49f6b6fd577750204d514f1caaa9b4,file,BrazenBamboo DEEPDATA Plugin Telegram.dll.470
87daf1ee49925271f0f3b2f5671ef028d9e6b79d487a68b879103a752d6fdb7f,file,BrazenBamboo DEEPDATA Plugin ChatIndexedDb.dll
87f9766eb91e966a7599f65d16a696fea6452383d298be65635e63dfac226976,file,BrazenBamboo DEEPDATA Plugin ffmpeg.dll
88e5ca44189dabb4cec8a183f6268a42f3f92b2c6d7c722d7f55efd3dc5334c8,file,BrazenBamboo DEEPDATA Plugin ChatIndexedDb.dll
91b3e5e9ea4b1d7dc188dec0b28afa53f1048b4162ec9dbd60a458b650410585,file,BrazenBamboo DEEPDATA Plugin d3dcompiler_47.dll
a560931baa404189257ec9cbcc2b9449c579018218cc1d70c99b1d36dd292a0e,file,BrazenBamboo DEEPDATA Plugin Telegram.dll.4147
ac7e20d4ddccc5e249ff0c1a72e394f9c1667a896995cf55b97b4f9fbf5de2fd,file,BrazenBamboo DEEPDATA Plugin appdata.dll
af0de88e8b17d628b354b5586da7718b06755d88ddde8c933c8606018e5ed7ff,file,BrazenBamboo DEEPDATA Plugin Telegram.dll.4121
b208b73d003a8ee0eb24ce09f7ff515e18229d1836c43159a8e1821615aab19c,file,BrazenBamboo DEEPDATA Plugin Telegram.dll.4131
b523cdd1669dbd7ab68b43fd20f30a790ec0351876a0610958b9405468753a10,file,BrazenBamboo DEEPDATA Plugin WebBrowser.dll
c3995f28476f7a775f4c1e8be47c64a300e0f16535dc5ed665ba796f05f19f73,file,BrazenBamboo DEEPDATA Plugin SocialSoft.dll
c782346bf9e5c08a0c43a85d4991f26b0b3c99c054fa83beb4a9e406906f011e,file,BrazenBamboo DEEPDATA Plugin Pass1.dll
d4aea0bbfe5b309f2464fef8ebb44dd514f8162d41be53b423c64b4acb4a5ee6,file,BrazenBamboo DEEPDATA Plugin SystemInfo1.dll
dab112f7c765a375f0f12313d1b1e3cf14963113cf7b6f101ba5192a0c3874de,file,BrazenBamboo DEEPDATA Plugin Tdm.dll
dbf0ee5e96b418bb6237772262701baf213bf60ede3ed7d90c126117097aa3ec,file,BrazenBamboo DEEPDATA Plugin SocialSoft.dll
ee7c3e2352a4e7bf37e3d76972de1ba493c0be26832cae5978c134155ac7835b,file,BrazenBamboo DEEPDATA Plugin frame.dll
efff4106cfd21a356b13a5a99c626a4f103f03b9491c0f1f5e135c1e3c84e76c,file,BrazenBamboo DEEPDATA Plugin Tdm.dll
fc1c30f6f23a303944d8d04c6c0a7f21b137f70f60ce4f03b2e930f3e98a91da,file,BrazenBamboo DEEPDATA Plugin iumdll.dll
0f66a4daba647486d2c9d838592cba298df2dbf38f2008b6571af8a562bc306c,file,LIGHTSPY Windows orchestrator
08e0ed3c9a4c04a4cb83e17f14a4959236dda048336c04e30ab7786b5bf8ffa7,file,BH_A006 loader
80c0cdb1db961c76de7e4efb6aced8a52cd0e34178660ef34c128be5f0d587df,file,LIGHTSPY Windows orchestrator
0f662991dbd0568fc073b592f46e60b081eedf0c18313f2c3789e8e3f7cb8144,file,LIGHTSPY MacOS plugin
3d6ef4d88d3d132b1e479cf211c9f8422997bfcaa72e55e9cc5d985fd2939e6d,file,LIGHTSPY MacOS plugin
18bad57109ac9be968280ea27ae3112858e8bc18c3aec02565f4c199a7295f3a,file,LIGHTSPY MacOS plugin
